	Temperature	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
	20	3233.97581054689	3299.20514648439	3218.31697265628	3158.63837890627	3156.45386718751	3135.58161132814	3225.30334960938	3250.69391601562	3278.34878906251	2933.49476562502	2910.99948242188	2858.23432617191	3153.1912109375	3276.81836914064	3125.67226562502	3181.88642578128	3146.09125976563	3172.84105468753	3195.47313476563	3292.79255859377	3410.65400390628	3482.06888671877	3487.04143554692	3639.65648437502	3146.07871093752	3323.11127929689	3230.51504882816	3206.70937500001	3135.38125000003	3210.54155273439	3230.10715820314	3305.45205078127	3344.23011718751	3471.32396484378	3463.6543652344	3461.64289062504	3271.50215820315	3309.50502929691	3319.69088867187	3181.02515625002	3186.28666015629	3167.58738281251	3132.50519531251	3275.06148437501	3332.55192382816	3398.93580078129	3452.09265625005	3511.43348632816	3213.5995214844	3291.92737304689	3109.58879882816	3082.78858398439	3213.64273437501	3237.44375000002	3292.2252734375	3224.80110351565	3310.23582031254	3318.32075195317	3442.35455078127	3533.27237304689	3326.66012695316	3461.33082031252	3372.06957031254	3177.58401367189	3304.66138671878	3284.72376953127	3228.11037109376	3271.30771484377	3423.09251953126	3404.00962890628	3507.00074218749	3545.56005859377	3531.86750000002	3484.22691406253	3349.31639648439	3634.80056640627	3378.38048828127	3330.66625000002	3355.4990917969	3267.22392578126	3464.99455078125	3393.79378906254	3675.69416015628	4189.20250976568	3195.89313476567	3271.84012695317	3290.77203125002	3362.77254882814	3290.05749023441	3431.50655273438	3296.90970703128	3349.95113281251	3240.21709960938	3185.05756835939	3216.2083984375	3093.63296875002
	20.5	3214.45949218752	3277.95830078126	3201.75962890628	3145.95889648439	3144.05593750001	3123.96788085939	3217.49174804688	3234.98608398437	3265.21293945313	2932.92687500002	2911.17471679688	2857.43441406253	3141.2343359375	3260.44365234377	3113.0453808594	3168.66797851566	3138.004375	3162.9689746094	3185.74214843751	3277.84204101564	3398.08559570315	3468.97521484377	3469.43723632817	3617.95332031252	3136.29980468752	3309.15232421876	3214.63033203129	3196.82834960939	3125.63125000002	3195.88683593751	3216.93032226564	3288.4741699219	3328.06375000001	3456.99982421878	3444.12016601565	3440.81764648442	3257.0563574219	3294.08979492191	3302.2587109375	3168.03359375002	3173.81407226567	3156.33525390626	3123.88203125001	3259.28200195313	3317.12881835941	3381.60835937504	3437.94947265629	3490.16656250003	3199.37372070315	3277.83052734377	3095.96923828129	3070.28382812502	3196.96166015626	3222.20001953127	3277.94532226563	3213.2401074219	3296.19109375004	3304.29965820317	3426.26138671877	3530.52553710939	3313.21376953129	3444.95719726565	3351.92273437504	3164.09194335939	3284.3697558594	3269.2642871094	3213.43625976564	3253.56196289064	3405.95780273439	3388.03284179691	3488.09127929687	3532.28374023439	3515.94589843752	3474.8179589844	3334.26328125002	3618.12312500002	3357.2009277344	3313.61730468752	3336.46125976565	3254.46704101564	3452.24081054688	3378.25275390629	3660.25890625003	4174.8234960938	3190.64157226567	3263.55701171879	3276.72566406252	3349.20570312502	3278.42007812503	3416.52334960938	3279.04602539066	3336.26646484376	3228.74020507813	3174.91497070314	3208.07047851563	3087.69929687502
	21	3194.94317382814	3256.71145507814	3185.20228515628	3133.27941406252	3131.65800781251	3112.35415039064	3209.68014648438	3219.27825195312	3252.07708984376	2932.35898437502	2911.34995117189	2856.63450195316	3129.2774609375	3244.06893554689	3100.41849609378	3155.44953125003	3129.91749023438	3153.09689453127	3176.01116210938	3262.89152343752	3385.51718750003	3455.88154296877	3451.83303710942	3596.25015625002	3126.52089843752	3295.19336914064	3198.74561523441	3186.94732421876	3115.88125000002	3181.23211914064	3203.75348632814	3271.49628906252	3311.89738281251	3442.67568359379	3424.5859667969	3419.99240234379	3242.61055664065	3278.67456054691	3284.82653320312	3155.04203125002	3161.34148437504	3145.08312500001	3115.25886718751	3243.50251953126	3301.70571289066	3364.28091796879	3423.80628906254	3468.89963867191	3185.14791992189	3263.73368164065	3082.34967773441	3057.77907226564	3180.28058593751	3206.95628906252	3263.66537109375	3201.67911132815	3282.14636718754	3290.27856445317	3410.16822265627	3527.77870117189	3299.76741210941	3428.58357421877	3331.77589843754	3150.59987304689	3264.07812500002	3253.80480468752	3198.76214843751	3235.81621093752	3388.82308593751	3372.05605468753	3469.18181640624	3519.00742187501	3500.02429687502	3465.40900390628	3319.21016601564	3601.44568359377	3336.02136718752	3296.56835937502	3317.4234277344	3241.71015625001	3439.4870703125	3362.71171875004	3644.82365234378	4160.44448242193	3185.39000976567	3255.27389648442	3262.67929687502	3335.63885742189	3266.78266601566	3401.54014648438	3261.18234375003	3322.58179687501	3217.26331054688	3164.77237304689	3199.93255859375	3081.76562500002
	21.5	3175.42685546877	3235.46460937501	3168.64494140628	3120.59993164064	3119.26007812501	3100.74041992189	3201.86854492189	3203.57041992187	3238.94124023438	2931.79109375002	2911.52518554689	2855.83458984378	3117.3205859375	3227.69421875002	3087.79161132815	3142.23108398441	3121.83060546875	3143.22481445315	3166.28017578126	3247.94100585939	3372.9487792969	3442.78787109377	3434.22883789066	3574.54699218752	3116.74199218752	3281.23441406251	3182.86089843754	3177.06629882814	3106.13125000002	3166.57740234376	3190.57665039064	3254.51840820315	3295.73101562501	3428.35154296879	3405.05176757815	3399.16715820317	3228.1647558594	3263.25932617191	3267.39435546875	3142.05046875002	3148.86889648442	3133.83099609376	3106.63570312501	3227.72303710938	3286.28260742191	3346.95347656254	3409.66310546879	3447.63271484378	3170.92211914064	3249.63683593752	3068.73011718754	3045.27431640627	3163.59951171876	3191.71255859377	3249.38541992188	3190.1181152344	3268.10164062504	3276.25747070317	3394.07505859377	3525.03186523439	3286.32105468754	3412.2099511719	3311.62906250004	3137.10780273439	3243.78649414065	3238.34532226565	3184.08803710939	3218.07045898439	3371.68836914064	3356.07926757816	3450.27235351562	3505.73110351564	3484.10269531252	3456.00004882815	3304.15705078127	3584.76824218752	3314.84180664065	3279.51941406252	3298.38559570315	3228.95327148439	3426.73333007813	3347.17068359379	3629.38839843753	4146.06546875005	3180.13844726567	3246.99078125004	3248.63292968752	3322.07201171877	3255.14525390628	3386.55694335938	3243.31866210941	3308.89712890627	3205.78641601563	3154.62977539064	3191.79463867188	3075.83195312502
	22	3155.91053710939	3214.21776367189	3152.08759765628	3107.92044921877	3106.86214843751	3089.12668945314	3194.05694335939	3187.86258789062	3225.80539062501	2931.22320312502	2911.70041992189	2855.03467773441	3105.3637109375	3211.31950195314	3075.16472656253	3129.01263671878	3113.74372070313	3133.35273437502	3156.54918945313	3232.99048828127	3360.38037109378	3429.69419921877	3416.62463867191	3552.84382812502	3106.96308593752	3267.27545898439	3166.97618164066	3167.18527343751	3096.38125000002	3151.92268554689	3177.39981445314	3237.54052734377	3279.56464843751	3414.02740234379	3385.5175683594	3378.34191406254	3213.71895507815	3247.84409179691	3249.96217773437	3129.05890625002	3136.39630859379	3122.57886718751	3098.01253906251	3211.9435546875	3270.85950195316	3329.62603515629	3395.51992187504	3426.36579101566	3156.69631835939	3235.5399902344	3055.11055664066	3032.76956054689	3146.91843750001	3176.46882812502	3235.10546875	3178.55711914065	3254.05691406254	3262.23637695317	3377.98189453127	3522.28502929689	3272.87469726566	3395.83632812502	3291.48222656254	3123.61573242189	3223.49486328127	3222.88583984377	3169.41392578126	3200.32470703127	3354.55365234376	3340.10248046878	3431.362890625	3492.45478515626	3468.18109375002	3446.59109375003	3289.10393554689	3568.09080078127	3293.66224609377	3262.47046875002	3279.3477636719	3216.19638671876	3413.97958984375	3331.62964843753	3613.95314453128	4131.68645507818	3174.88688476567	3238.70766601567	3234.58656250002	3308.50516601564	3243.50784179691	3371.57374023438	3225.45498046878	3295.21246093752	3194.30952148438	3144.48717773439	3183.65671875001	3069.89828125002
	22.5	3136.39421875002	3192.97091796877	3135.53025390627	3095.24096679689	3094.46421875002	3077.51295898439	3186.24534179689	3172.15475585939	3212.66954101565	2930.65531250002	2911.87565429689	2854.23476562502	3093.40683593752	3194.94478515627	3062.53784179689	3115.79418945314	3105.65683593752	3123.48065429689	3146.81820312502	3218.03997070315	3347.81196289065	3416.60052734377	3399.02043945315	3531.14066406252	3097.18417968752	3253.31650390627	3151.09146484377	3157.30424804689	3086.63125000002	3137.26796875002	3164.22297851564	3220.56264648439	3263.39828125002	3399.70326171877	3365.98336914065	3357.5166699219	3199.2731542969	3232.42885742189	3232.53000000002	3116.06734375002	3123.92372070314	3111.32673828127	3089.38937500002	3196.16407226565	3255.4363964844	3312.29859375002	3381.37673828127	3405.09886718752	3142.47051757814	3221.44314453127	3041.49099609377	3020.26480468752	3130.23736328127	3161.22509765627	3220.82551757814	3166.99612304689	3240.01218750002	3248.21528320315	3361.88873046877	3519.5381933594	3259.42833984377	3379.46270507815	3271.33539062502	3110.12366210939	3203.2032324219	3207.42635742189	3154.73981445314	3182.57895507814	3337.4189355469	3324.1256933594	3412.4534277344	3479.1784667969	3452.25949218752	3437.1821386719	3274.05082031252	3551.41335937502	3272.4826855469	3245.42152343752	3260.30993164065	3203.43950195314	3401.2258496094	3316.08861328127	3598.51789062502	4117.30744140628	3169.63532226565	3230.42455078127	3220.54019531252	3294.93832031252	3231.87042968752	3356.5905371094	3207.59129882815	3281.52779296877	3182.83262695315	3134.34458007814	3175.51879882815	3063.96460937502
	23	3116.87790039064	3171.72407226565	3118.97291015627	3082.56148437502	3082.06628906252	3065.89922851564	3178.4337402344	3156.44692382814	3199.53369140627	2930.08742187502	2912.05088867189	2853.43485351564	3081.44996093752	3178.5700683594	3049.91095703127	3102.57574218752	3097.56995117189	3113.60857421877	3137.08721679689	3203.08945312502	3335.24355468752	3403.50685546877	3381.4162402344	3509.43750000002	3087.40527343752	3239.35754882814	3135.20674804689	3147.42322265627	3076.88125000002	3122.61325195314	3151.04614257814	3203.58476562502	3247.23191406252	3385.37912109377	3346.4491699219	3336.69142578127	3184.82735351565	3217.0136230469	3215.09782226564	3103.07578125002	3111.45113281252	3100.07460937502	3080.76621093752	3180.38458984377	3240.01329101564	3294.97115234377	3367.23355468752	3383.8319433594	3128.24471679689	3207.34629882815	3027.87143554689	3007.76004882814	3113.55628906252	3145.98136718752	3206.54556640627	3155.43512695314	3225.96746093752	3234.19418945314	3345.79556640627	3516.7913574219	3245.9819824219	3363.08908203127	3251.18855468752	3096.63159179689	3182.91160156252	3191.96687500002	3140.06570312502	3164.83320312502	3320.28421875002	3308.14890625002	3393.54396484377	3465.90214843752	3436.33789062502	3427.77318359377	3258.99770507815	3534.73591796877	3251.30312500002	3228.37257812502	3241.2720996094	3190.68261718752	3388.47210937502	3300.54757812502	3583.08263671877	4102.9284277344	3164.38375976564	3222.1414355469	3206.49382812502	3281.3714746094	3220.23301757815	3341.6073339844	3189.72761718752	3267.84312500002	3171.3557324219	3124.20198242189	3167.38087890627	3058.03093750002
	23.5	3099.62630859377	3153.08826171877	3104.62923828127	3071.37091796877	3072.10468750002	3056.00597656252	3171.88845703127	3143.07065429689	3188.88940429689	2930.38061523439	2913.19932617189	2854.43858398439	3071.23360351564	3164.47059570314	3039.92147460939	3091.27249023439	3090.45254882814	3105.09697265627	3128.65204101565	3189.7626464844	3324.84411132815	3392.71951171877	3366.2446777344	3490.16640625002	3078.99847656252	3225.96071289065	3120.73939453127	3139.44166992189	3067.92804687502	3110.05220703127	3139.24877929689	3187.97948242189	3233.46082031252	3373.64762695315	3330.51964843752	3319.7635839844	3172.51210937502	3203.74837890627	3199.45201171877	3091.84734375002	3100.32326171877	3089.60403320314	3072.54356445314	3166.74722656252	3226.51598632815	3279.9900292969	3354.8193261719	3365.11450195315	3114.66524414064	3194.68265625002	3016.33087890627	2996.78685546877	3098.80789062502	3131.86348632814	3193.72613281252	3145.30729492189	3213.95801757814	3222.75521484377	3332.90508789065	3513.32555664065	3234.25091796877	3348.89965820315	3234.91223632815	3085.55844726564	3165.48364257815	3178.85102539065	3127.52211914064	3149.96796875002	3305.00317382815	3294.85316406252	3377.52085937502	3453.24158203127	3421.3273339844	3419.45579101565	3246.00930664064	3518.43271484377	3233.45781250002	3214.15570312502	3224.9600683594	3180.14206054689	3377.5941699219	3287.79333007815	3569.90478515627	4093.89048828128	3159.61115234377	3214.66940429689	3194.45275390627	3269.53832031252	3210.3340527344	3328.26781250002	3174.96285156252	3256.35316406252	3162.32780273439	3115.61838867189	3161.3098339844	3053.58046875002
	24	3083.98260742189	3136.10145507814	3092.26872070314	3061.22931640627	3063.15728515627	3047.47219726564	3166.51997070314	3130.91333984377	3179.66672851565	2930.99693359377	2914.48356445314	2855.67858398439	3061.85096679689	3152.51904296877	3031.66514648439	3081.03295898439	3084.15881835939	3097.40693359377	3121.09686523439	3177.76636718752	3315.63208007815	3383.59373046877	3353.0078808594	3472.96003906252	3071.68168945314	3212.83387695314	3107.66205078127	3132.64590820314	3059.39220703127	3098.66379882814	3128.24622070314	3174.05315429689	3221.29821289064	3363.4045214844	3316.80484375002	3305.80367187502	3162.18313476564	3192.21001953127	3186.05516601565	3082.24683593752	3090.16378906252	3079.90557617189	3064.45563476564	3154.57458007814	3214.57496093752	3266.91050781252	3343.66566406252	3347.96974609377	3102.46627929689	3182.97108398439	3006.44192382814	2986.78842773439	3085.82052734377	3118.85093750002	3182.3419824219	3136.71163085939	3203.85957031252	3213.47945312502	3322.2924902344	3508.62868164065	3224.33456054689	3336.58287109377	3221.3780371094	3076.14317382814	3150.54572265627	3167.34310546877	3116.33693359377	3137.39060546877	3291.53632812502	3283.72212890627	3363.77039062502	3440.9810058594	3407.55313476565	3411.4499902344	3234.92199218752	3502.59899414065	3218.08362304689	3201.81986328127	3211.2912011719	3170.90625976565	3367.82571289065	3276.33751953127	3557.97793945315	4088.3015527344	3155.20798828127	3207.83152343752	3184.35380859377	3259.15460937502	3201.57829101565	3316.03617187502	3162.27600585939	3246.8078808594	3154.58303710939	3108.30791015627	3156.64822265627	3049.44051757814
	24.5	3069.48625000002	3120.20673828127	3081.01767578127	3051.58668945314	3054.95517578127	3040.03691406252	3161.35153320314	3119.65494140627	3171.50249023439	2931.83532226564	2916.11785156252	2857.47122070314	3053.33625000002	3141.86905273439	3024.32571289064	3071.90766601564	3077.73301757814	3090.19114257814	3113.83587890627	3166.69644531252	3307.02740234377	3375.3589355469	3340.98312500002	3457.21211914065	3065.46008789064	3200.11335937502	3095.60102539064	3126.98222656252	3051.50792968752	3088.31279296877	3117.64729492189	3161.37418945314	3210.14300781252	3353.6276855469	3304.61111328127	3293.65480468752	3153.29891601564	3181.96482421877	3174.29516601564	3073.74000000002	3080.08907226564	3070.42136718752	3056.40039062502	3143.28669921877	3203.61497070315	3254.9804589844	3332.94887695315	3331.98399414065	3091.17255859377	3172.47847656252	2998.06300781252	2977.55527343752	3073.72471679689	3106.47419921877	3171.94306640627	3129.00121093752	3194.9779980469	3205.33525390627	3313.1504199219	3502.8860449219	3215.06508789064	3325.3092089844	3209.19798828127	3067.70733398439	3136.78779296877	3156.69625976564	3106.04694335939	3126.11583984377	3279.82476562502	3273.9353417969	3351.48883789065	3428.80515625002	3394.8973730469	3403.79681640627	3225.33991210939	3487.12003906252	3204.21679687502	3190.76085937502	3198.88333007815	3162.71097656252	3358.61146484377	3265.76223632815	3546.82270507815	4084.5331152344	3151.20794921877	3200.73680664064	3175.3653808594	3249.20777343752	3193.70621093752	3304.87189453127	3151.36332031252	3238.7631152344	3147.76988281252	3101.55371093752	3152.27716796877	3045.21635742189
