	Temperature	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
	20	3497.30601562503	3534.14917968751	3641.31770507812	4414.01863281253	4430.30822265627	4341.75472656251	5334.46279296877	4699.08058593753	4291.84943359381	2863.44224609375	2848.29785156252	2885.01482421876	3953.46293945316	5063.64371093753	4743.10484375001	3813.47605468752	5830.5909570313	4786.37410156252	4900.24785156253	4603.33638671877	4217.45541015628	3911.51926757816	4532.83536132814	3669.29465820313	3463.87701171875	3649.79462890626	3856.08130859379	4545.70126953127	4857.40929687503	3595.72037109376	4444.92285156253	4244.16636718753	4310.82121093754	4644.83058593755	4656.48644531251	4396.98844726567	3735.90156250004	4308.91054687503	3388.90750000002	3356.0214355469	4033.68114257816	3986.33485351564	3257.51646484374	4315.37539062503	3686.98135742189	4363.8263671875	4735.13228515629	3720.91628906254	3152.48408203127	4111.64477539064	4882.85123046877	3607.21853515628	4110.48422851565	5492.99580078127	4675.22394531254	3725.70345703128	4184.26550781254	4281.17322265627	4899.53525390627	4129.4572167969	3772.72290039067	4212.24162109377	4427.29714843752	5267.46117187503	4555.13074218752	3796.91920898439	5217.33777343752	4380.86492187503	3905.4929199219	4035.77224609377	3516.86027343749	4224.11720703127	4537.51332031255	3838.75189453128	3706.24062500003	5209.04232421876	4966.8364257813	3463.1276855469	4650.52269531254	5381.60691406255	5440.68019531252	4090.22334960939	4550.40478515629	3384.06048828127	3297.93099609377	3306.6060449219	3376.77210937503	3580.01111328126	4468.27988281251	4359.99980468753	5045.2585742188	4889.98751953129	4115.45369140625	3215.90396484377	3824.73283203127	4183.86738281252
	20.5	3486.88910156253	3519.95177734376	3628.1408203125	4406.82964843753	4424.73183593752	4325.02474609376	5330.03009765627	4658.02269531252	4291.69308593756	2859.89379882813	2843.90997070314	2879.43424804689	3938.44662109378	5030.37322265628	4745.17535156251	3820.33394531252	5767.38148437505	4782.69769531252	4920.67099609379	4576.31849609377	4228.01171875003	3918.36344726566	4487.41318359377	3650.75621093751	3450.49436523437	3630.73571289064	3832.41394531254	4576.31500000002	4876.57193359378	3577.57400390626	4446.79281250004	4261.10054687503	4309.81541015629	4662.25632812505	4619.63212890626	4357.08741210942	3712.08784179692	4289.88841796878	3379.49273437502	3347.64458007815	4039.70001953128	3989.50862304689	3249.35013671874	4328.29378906253	3668.49183593752	4385.30265625	4739.37757812504	3719.26889648441	3143.71875976564	4104.84478515626	4864.80281250002	3587.16486328128	4100.92058593752	5460.97003906252	4635.97177734379	3708.01920898441	4188.83017578129	4291.79904296877	4875.09480468752	4107.3540527344	3753.01185546879	4204.14109375002	4436.86980468752	5248.72796875003	4542.90703125002	3774.20128906252	5239.14775390627	4348.63700195316	3877.61711914065	4047.70696289065	3503.20338867187	4248.17203125002	4520.69597656255	3831.02711914065	3696.8969824219	5178.48177734376	4984.7111523438	3453.33660156252	4619.7795898438	5349.33640625005	5417.24072265627	4067.84594726565	4526.41318359379	3369.05473632814	3287.5941699219	3295.8117871094	3370.68375976565	3573.44271484376	4445.54578125001	4350.09974609378	5005.4349414063	4899.62916015629	4117.4578125	3207.51239257815	3800.9944433594	4155.49851562502
	21	3476.47218750003	3505.75437500001	3614.96393554687	4399.64066406253	4419.15544921877	4308.29476562501	5325.59740234377	4616.96480468753	4291.53673828131	2856.3453515625	2839.52208984377	2873.85367187501	3923.43030273441	4997.10273437503	4747.24585937501	3827.19183593752	5704.1720117188	4779.02128906252	4941.09414062503	4549.30060546877	4238.56802734378	3925.20762695316	4441.99100585939	3632.21776367188	3437.11171875	3611.67679687502	3808.74658203129	4606.92873046877	4895.73457031253	3559.42763671876	4448.66277343754	4278.03472656253	4308.80960937504	4679.68207031255	4582.77781250001	4317.18637695317	3688.27412109379	4270.86628906253	3370.07796875002	3339.2677246094	4045.7188964844	3992.68239257814	3241.18380859374	4341.21218750003	3650.00231445314	4406.7789453125	4743.62287109379	3717.62150390629	3134.95343750001	4098.04479492189	4846.75439453127	3567.11119140628	4091.3569433594	5428.94427734377	4596.71960937504	3690.33496093753	4193.39484375004	4302.42486328127	4850.65435546878	4085.2508886719	3733.30081054692	4196.04056640627	4446.44246093752	5229.99476562503	4530.68332031252	3751.48336914064	5260.95773437502	4316.40908203128	3849.7413183594	4059.64167968752	3489.54650390624	4272.22685546877	4503.87863281255	3823.30234375003	3687.55333984378	5147.92123046877	5002.5858789063	3443.54551757815	4589.03648437504	5317.06589843755	5393.80125000002	4045.4685449219	4502.42158203129	3354.04898437502	3277.25734375002	3285.0175292969	3364.59541015628	3566.87431640626	4422.81167968751	4340.19968750003	4965.6113085938	4909.27080078129	4119.46193359375	3199.12082031252	3777.25605468752	4127.12964843752
	21.5	3466.05527343753	3491.55697265626	3601.78705078125	4392.45167968753	4413.57906250002	4291.56478515626	5321.16470703127	4575.90691406253	4291.38039062506	2852.79690429688	2835.13420898439	2868.27309570314	3908.41398437503	4963.83224609378	4749.31636718751	3834.04972656252	5640.96253906255	4775.34488281252	4961.51728515628	4522.28271484378	4249.12433593753	3932.05180664066	4396.56882812502	3613.67931640626	3423.72907226562	3592.61788085939	3785.07921875004	4637.54246093752	4914.89720703128	3541.28126953126	4450.53273437504	4294.96890625002	4307.80380859379	4697.10781250005	4545.92349609376	4277.28534179692	3664.46040039066	4251.84416015628	3360.66320312502	3330.89086914065	4051.73777343753	3995.85616210939	3233.01748046874	4354.13058593753	3631.51279296877	4428.255234375	4747.86816406254	3715.97411132816	3126.18811523439	4091.24480468751	4828.70597656252	3547.05751953128	4081.79330078127	5396.91851562502	4557.46744140628	3672.65071289066	4197.95951171879	4313.05068359377	4826.21390625003	4063.1477246094	3713.58976562504	4187.94003906252	4456.01511718753	5211.26156250003	4518.45960937502	3728.76544921877	5282.76771484377	4284.18116210941	3821.86551757815	4071.5763964844	3475.88961914062	4296.28167968752	4487.06128906255	3815.5775683594	3678.20969726565	5117.36068359377	5020.4606054688	3433.75443359377	4558.29337890629	5284.79539062505	5370.36177734377	4023.09114257815	4478.42998046879	3339.04323242189	3266.92051757815	3274.2232714844	3358.50706054691	3560.30591796876	4400.07757812502	4330.29962890628	4925.7876757813	4918.91244140629	4121.4660546875	3190.72924804689	3753.51766601565	4098.76078125002
	22	3455.63835937503	3477.35957031251	3588.61016601562	4385.26269531253	4408.00267578126	4274.83480468751	5316.73201171877	4534.84902343753	4291.2240429688	2849.24845703126	2830.74632812502	2862.69251953126	3893.39766601566	4930.56175781253	4751.38687500001	3840.90761718752	5577.7530664063	4771.66847656252	4981.94042968753	4495.26482421878	4259.68064453128	3938.89598632816	4351.14665039064	3595.14086914064	3410.34642578125	3573.55896484377	3761.41185546879	4668.15619140627	4934.05984375003	3523.13490234376	4452.40269531254	4311.90308593753	4306.79800781254	4714.53355468755	4509.06917968751	4237.38430664067	3640.64667968754	4232.82203125003	3351.24843750002	3322.5140136719	4057.75665039065	3999.02993164064	3224.85115234374	4367.04898437503	3613.0232714844	4449.7315234375	4752.11345703129	3714.32671875004	3117.42279296876	4084.44481445314	4810.65755859377	3527.00384765628	4072.22965820315	5364.89275390627	4518.21527343753	3654.96646484378	4202.52417968754	4323.67650390627	4801.77345703128	4041.0445605469	3693.87872070317	4179.83951171877	4465.58777343753	5192.52835937503	4506.23589843752	3706.04752929689	5304.57769531252	4251.95324218753	3793.9897167969	4083.51111328127	3462.23273437499	4320.33650390627	4470.24394531255	3807.85279296878	3668.86605468753	5086.80013671877	5038.3353320313	3423.96334960939	4527.55027343754	5252.52488281255	5346.92230468752	4000.7137402344	4454.43837890629	3324.03748046877	3256.58369140627	3263.4290136719	3352.41871093753	3553.73751953126	4377.34347656252	4320.39957031253	4885.96404296879	4928.55408203129	4123.47017578125	3182.33767578127	3729.77927734377	4070.39191406252
	22.5	3445.22144531252	3463.16216796877	3575.43328125002	4378.07371093753	4402.42628906253	4258.10482421878	5312.29931640628	4493.79113281253	4291.06769531253	2845.70000976564	2826.35844726564	2857.11194335939	3878.38134765627	4897.29126953128	4753.45738281253	3847.76550781252	5514.54359375003	4767.99207031253	5002.36357421878	4468.24693359378	4270.23695312503	3945.74016601565	4305.72447265628	3576.60242187502	3396.9637792969	3554.50004882815	3737.74449218752	4698.76992187503	4953.22248046878	3504.98853515627	4454.27265625003	4328.83726562503	4305.79220703128	4731.95929687503	4472.21486328128	4197.4832714844	3616.8329589844	4213.79990234378	3341.83367187502	3314.13715820315	4063.77552734378	4002.2037011719	3216.68482421877	4379.96738281253	3594.53375000002	4471.20781250003	4756.35875000003	3712.6793261719	3108.65747070314	4077.64482421878	4792.60914062503	3506.95017578127	4062.66601562503	5332.86699218753	4478.96310546878	3637.2822167969	4207.08884765628	4334.30232421878	4777.33300781253	4018.9413964844	3674.16767578127	4171.73898437503	4475.16042968753	5173.79515625003	4494.01218750003	3683.32960937502	5326.38767578128	4219.72532226565	3766.11391601565	4095.44583007815	3448.5758496094	4344.39132812503	4453.42660156253	3800.12801757815	3659.5224121094	5056.23958984378	5056.21005859378	3414.17226562502	4496.80716796878	5220.25437500003	5323.48283203128	3978.33633789065	4430.44677734378	3309.03172851565	3246.2468652344	3252.6347558594	3346.33036132815	3547.16912109377	4354.60937500003	4310.49951171878	4846.14041015628	4938.19572265628	4125.47429687503	3173.94610351565	3706.0408886719	4042.02304687503
	23	3434.80453125002	3448.96476562502	3562.2563964844	4370.88472656253	4396.84990234378	4241.37484375003	5307.86662109378	4452.73324218753	4290.91134765628	2842.15156250002	2821.97056640627	2851.53136718752	3863.3650292969	4864.02078125003	4755.52789062503	3854.62339843752	5451.33412109378	4764.31566406253	5022.78671875003	4441.22904296878	4280.79326171878	3952.58434570315	4260.3022949219	3558.0639746094	3383.58113281252	3535.44113281252	3714.07712890627	4729.38365234378	4972.38511718753	3486.84216796877	4456.14261718753	4345.77144531253	4304.78640625003	4749.38503906253	4435.36054687503	4157.58223632815	3593.01923828127	4194.77777343753	3332.41890625002	3305.7603027344	4069.7944042969	4005.37747070315	3208.51849609377	4392.88578125003	3576.04422851565	4492.68410156253	4760.60404296878	3711.03193359377	3099.89214843752	4070.8448339844	4774.56072265628	3486.89650390627	4053.1023730469	5300.84123046878	4439.71093750003	3619.59796875002	4211.65351562503	4344.92814453128	4752.89255859378	3996.8382324219	3654.4566308594	4163.63845703128	4484.73308593753	5155.06195312503	4481.78847656253	3660.61168945315	5348.19765625003	4187.49740234378	3738.2381152344	4107.38054687503	3434.91896484377	4368.44615234378	4436.60925781253	3792.40324218752	3650.17876953127	5025.67904296878	5074.08478515628	3404.38118164065	4466.06406250003	5187.98386718753	5300.04335937503	3955.9589355469	4406.45517578128	3294.02597656252	3235.91003906252	3241.84049804689	3340.24201171877	3540.60072265627	4331.87527343753	4300.59945312503	4806.31677734378	4947.83736328128	4127.47841796878	3165.55453125002	3682.30250000002	4013.65417968752
	23.5	3424.34558593752	3434.7042089844	3549.23847656252	4362.94671875003	4391.72458984378	4223.48957031252	5298.97875000003	4412.64582031253	4290.69867187503	2838.55678710939	2817.59952148439	2846.39083984377	3848.44183593752	4830.66234375003	4754.95478515628	3862.28869140627	5386.34937500003	4758.90449218753	5044.72412109378	4412.64166015628	4291.53853515628	3959.61800781252	4215.26743164065	3540.22551757815	3370.87693359377	3516.98220703127	3691.34869140627	4759.21314453128	4990.38144531253	3469.43636718752	4456.31470703128	4363.45619140628	4303.03636718753	4763.38396484378	4399.34416015628	4119.89275390628	3570.31607421877	4174.9015136719	3323.16097656252	3297.49084960939	4075.8416699219	4008.9212402344	3200.70897460939	4405.19683593753	3556.99890625002	4515.36406250003	4763.53306640628	3710.16505859377	3091.23999023439	4063.8027246094	4755.61384765628	3467.8680371094	4043.67660156253	5265.65277343753	4400.55669921878	3602.85320312502	4216.31974609378	4356.17763671878	4726.68060546878	3974.60558593752	3635.60239257815	4155.20949218753	4493.63994140628	5135.10664062503	4467.68373046878	3638.5190527344	5367.47976562503	4155.02109375003	3711.55863281252	4119.21942382815	3421.52419921877	4393.56308593753	4419.45191406253	3784.56634765627	3641.23348632815	4992.00427734378	5089.32474609378	3394.98008789065	4437.05148437503	5156.40173828128	5275.48595703128	3934.17524414065	4381.21679687503	3279.49173828127	3226.07849609377	3231.78260742189	3334.27791015627	3534.4975683594	4308.60111328128	4291.41623046878	4766.76000000003	4956.63843750003	4130.45619140628	3157.46245117189	3658.87933593752	3986.08950195315
	24	3413.94191406252	3420.02628906252	3536.1047558594	4353.86457031253	4386.53724609378	4205.21056640628	5285.38935546878	4372.75101562503	4290.74496093753	2835.03729492189	2813.66956054689	2841.75667968752	3833.21283203127	4797.64125000003	4751.23638671878	3870.09765625002	5319.67042968753	4750.82498046878	5067.82566406253	4382.32480468753	4302.16433593753	3967.1663964844	4171.7689355469	3522.6418261719	3358.34273437502	3499.21541015627	3669.25861328127	4788.53580078128	5005.96673828128	3452.5179589844	4454.34841796878	4381.36515625003	4299.97736328128	4774.21765625003	4363.94306640628	4084.24912109378	3548.23187500002	4154.51158203128	3314.08833984377	3289.18140625002	4081.63054687503	4012.7160058594	3193.21158203127	4416.60738281253	3538.18257812502	4538.49355468753	4766.15626953128	3710.7323730469	3082.36523437502	4056.28117187502	4734.79593750003	3449.7942871094	4034.1050292969	5227.38537109378	4361.66560546878	3587.1563574219	4220.93390625003	4367.16296875003	4698.44863281253	3952.44501953127	3617.33602539065	4146.13419921878	4502.42154296878	5114.13390625003	4451.08318359378	3616.90165039065	5383.48927734378	4122.24844726565	3686.08914062502	4130.78094726565	3407.8331152344	4419.59419921878	4402.15876953128	3776.92318359377	3633.22083984377	4955.55005859378	5100.56210937503	3385.98640625002	4409.25156250003	5125.29910156253	5249.64589843753	3913.03787109377	4355.32318359378	3265.68480468752	3216.78750976565	3222.18943359377	3328.10324218752	3528.86757812502	4285.25964843753	4282.94310546878	4727.70476562503	4964.31429687503	4134.33246093753	3150.32037109377	3637.14457031252	3959.23585937502
	24.5	3403.46352539065	3405.09785156252	3522.89262695315	4344.42455078128	4381.40462890628	4187.32685546878	5267.80158203128	4333.84044921878	4291.54291015628	2831.94677734377	2810.27640625002	2837.50993164064	3817.63231445315	4764.13123046878	4744.79007812503	3878.66242187502	5252.19675781253	4740.93287109378	5091.90826171878	4350.70845703128	4312.99537109378	3975.62378906252	4129.00835937503	3506.24969726565	3345.96486328127	3481.68597656252	3648.02533203127	4817.31369140628	5020.14156250003	3435.79794921877	4450.53367187503	4400.40097656253	4296.58099609378	4781.70404296878	4328.91886718753	4050.2176074219	3526.8244824219	4133.90634765628	3305.14414062502	3280.80088867189	4087.59153320315	4017.38232421878	3185.99899414065	4427.53369140628	3519.37888671877	4562.15517578128	4768.97160156253	3713.6044433594	3073.66996093752	4048.66329101565	4713.86166015628	3432.60109375002	4024.04605468753	5187.52429687503	4323.68083984378	3572.5895214844	4225.99863281253	4378.69566406253	4668.51609375003	3930.93074218753	3600.3954589844	4136.74368164065	4511.36527343753	5092.10753906253	4432.24261718753	3595.98789062502	5396.74300781253	4089.63843750003	3661.8328027344	4142.12718750003	3393.8467871094	4447.39949218753	4384.51666015628	3769.33322265627	3625.4418261719	4916.75740234378	5108.14681640628	3377.35900390627	4382.57111328128	5095.53117187503	5223.12900390628	3892.45525390628	4329.80064453128	3252.95523437502	3208.48335937502	3213.17202148439	3322.08649414064	3523.72754882815	4262.24445312503	4275.38148437503	4688.94740234378	4972.27638671878	4139.68873046878	3143.89301757814	3616.88032226565	3933.2122167969
